date,company,sector,contact,offer,priority,pain_angle,status,next_action,notes
2026-06-08,Research Target clinics,clinics,,WhatsApp Revenue OS + Review Intelligence OS,65,استفسارات وحجوزات وتقييمات تحتاج متابعة منظمة,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target clinics,clinics,,WhatsApp Revenue OS + Review Intelligence OS,65,استفسارات وحجوزات وتقييمات تحتاج متابعة منظمة,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target training_centers,training_centers,,Growth Engine OS,65,leads الدورات تحتاج تسجيل ومتابعة وتقرير,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target agencies,agencies,,Client Command Center OS,65,تقارير العملاء والمهام تحتاج Command Center,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target agencies,agencies,,Client Command Center OS,65,تقارير العملاء والمهام تحتاج Command Center,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target restaurants,restaurants,,Review Intelligence OS,65,التقييمات والشكاوى تحتاج Review Intelligence,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target restaurants,restaurants,,Review Intelligence OS,65,التقييمات والشكاوى تحتاج Review Intelligence,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target real_estate,real_estate,,Sales Pipeline OS,65,leads والعروض العقارية تحتاج pipeline ومتابعة,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target real_estate,real_estate,,Sales Pipeline OS,65,leads والعروض العقارية تحتاج pipeline ومتابعة,needs_review,review_contact_and_send_manually,Manual research needed.
2026-06-08,Research Target عيادات ومراكز طبية #1,clinics,,WhatsApp Revenue OS + Review Intelligence OS,65,الاستفسارات والحجوزات تضيع بين واتساب والمتابعة والتقييمات,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target عيادات ومراكز طبية #2,clinics,,WhatsApp Revenue OS + Review Intelligence OS,65,الاستفسارات والحجوزات تضيع بين واتساب والمتابعة والتقييمات,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target مراكز تدريب ومعاهد #1,training_centers,,Growth Engine OS,65,leads الدورات لا تتحول إلى تسجيلات بسبب ضعف المتابعة,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target مراكز تدريب ومعاهد #2,training_centers,,Growth Engine OS,65,leads الدورات لا تتحول إلى تسجيلات بسبب ضعف المتابعة,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target وكالات تسويق #1,agencies,,Client Command Center OS,65,تقارير العملاء والمهام والتسليم متفرقة,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target وكالات تسويق #2,agencies,,Client Command Center OS,65,تقارير العملاء والمهام والتسليم متفرقة,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target مطاعم وكافيهات #1,restaurants,,Review Intelligence OS,65,التقييمات والشكاوى لا تتحول إلى قرارات تشغيلية,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target مطاعم وكافيهات #2,restaurants,,Review Intelligence OS,65,التقييمات والشكاوى لا تتحول إلى قرارات تشغيلية,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target عقار وخدمات B2B #1,real_estate,,Sales Pipeline OS,65,العملاء والعروض تحتاج متابعة طويلة وتضيع بدون نظام,needs_review,review_contact_and_send_manually,
2026-06-08,Research Target عقار وخدمات B2B #2,real_estate,,Sales Pipeline OS,65,العملاء والعروض تحتاج متابعة طويلة وتضيع بدون نظام,needs_review,review_contact_and_send_manually,
