machine_id,name,purpose,input,output,data_source,approval_class,trust_gate,owner,worker_name,kpi,failure_mode,recovery_path,last_review_at
M-01,Market Intelligence Machine,Pull sector signals into scored feed,Public posts / news / job ads,Scored signal feed,Public sources only,A0,read-only,founder,market_intelligence_worker,Signals per week,Stale source,Refresh source list,
M-02,Lead Discovery Machine,Identify ICP-matching accounts,Whitelisted sources,Candidate accounts,Public sources only,A0,read-only,founder,lead_discovery_worker,New ICP accounts / week,Source drift,Re-tune filters,
M-03,Lead Enrichment Machine,Add firmographic and trust fields,Candidate accounts,Enriched accounts,Public sources,A0,read-only,founder,lead_enrichment_worker,Enrichment completeness %,Missing fields,Skip and flag,
M-04,Lead Scoring Machine,Apply deterministic scoring model,Enriched accounts,Scored accounts (A/B/C/Reject),Account_scores CSV,A0,read-only,founder,lead_scoring_worker,A-accounts produced / week,Misweighted score,Founder weight override,
M-05,Outreach Draft Machine,Draft AR/EN outreach,A-accounts + persona + evidence,Draft rows,Account_scores + persona,A1,founder-approval,founder,outbound_draft_worker,Drafts queued per A-account,Missing evidence,Refuse to emit,
M-06,Approval Queue Machine,Surface drafts to founder,Drafts,Decisions logged,Draft queue,A1,founder-approval,founder,approval_queue_worker,Median decision time hours,Queue overload,Throttle upstream,
M-07,Follow-Up Machine,Schedule approved follow-ups,Reply state,Follow-up drafts,Replies CSV,A1,founder-approval,founder,follow_up_worker,Follow-up coverage %,Spam risk,Cap follow-ups at 3,
M-08,Reply Router Machine,Classify inbound replies,Inbound replies,Classification + next action,Replies CSV,A1,founder-approval,founder,reply_router_worker,Reply latency hours,Misclassification,Founder reclassifies,
M-09,Sample Factory Machine,Assemble bilingual proof samples,Customer scope + sector,Sample artefacts,Delivered work,A1,founder-approval,founder,sample_factory_worker,Samples per week,Customer disclosure missing,Refuse and escalate,
M-10,Proposal Factory Machine,Render bilingual proposals,Offer + customer scope,Proposal markdown,Offer ladder,A1,founder-approval,founder,proposal_factory_worker,Proposals per week,Banned phrase,Verifier rejects,
M-11,Payment Capture Machine,Prepare invoices and track payment,Approved proposal,Invoice records,Payment ledger (private),A2,founder-approval,founder,payment_capture_worker,Invoiced SAR / week,Invoice conflict,Pause and escalate,
M-12,Content Engine,Draft content per persona x pillar,Persona + pillar + observations,Content drafts,Content calendar,A1,founder-approval,founder,inbound_content_worker,Drafts per week,Banned phrase,Verifier rejects,
M-13,Partner Referral Engine,Track partners and queue warm intros,Partner master,Warm intro drafts + scorecard,Partners CSV,A2,founder + partner approval,founder,partner_referral_worker,Intros / partner / month,Reciprocity imbalance,Pause and discuss,
M-14,Proof-to-Demand Engine,Turn delivered work into proof,Delivered outputs,Anonymised proof artefacts,Delivery outputs (private),A1,founder + customer approval,founder,proof_to_demand_worker,Proof per delivered sprint,Identifying detail leak,Refuse and re-anonymise,
M-15,Retention Expansion Engine,Detect expansion signals,Delivered accounts state,Expansion drafts,Delivery outputs (private),A1,founder-approval,founder,retention_expansion_worker,Expansion drafts / month,Customer fatigue,Throttle cadence,
