rung,channel,allocation,kpi,owner,status,source
1,outbound_email,0.40,sample_request_rate,distribution_operator,active,fallback
1,founder_content,0.40,founder_post_reach,founder,active,fallback
1,partner_referral,0.20,partner_intro_count,partner_ops,active,fallback
2,sample_to_sprint,0.60,sample_to_sprint_rate,sales,active,fallback
2,founder_content,0.40,sprint_inquiries,founder,active,fallback
3,sprint_to_pilot,0.50,sprint_to_pilot_rate,sales,active,fallback
3,abm_machine,0.30,t1_pipeline,distribution_operator,active,fallback
3,founder_content,0.20,pilot_inquiries,founder,active,fallback
4,pilot_to_retainer,0.60,pilot_to_retainer_rate,retention_copilot,active,fallback
4,customer_referral,0.20,referrals_per_quarter,retention_copilot,active,fallback
4,founder_content,0.20,retainer_inquiries,founder,active,fallback
5,retainer_expansion,0.70,expansion_rate,founder,active,fallback
5,founder_content,0.30,console_inquiries,founder,active,fallback
6,abm_machine,0.40,enterprise_pipeline,distribution_operator,active,fallback
6,partner_referral,0.40,partner_sourced_enterprise,partner_ops,active,fallback
6,founder_content,0.20,enterprise_inquiries,founder,active,fallback
7,partner_outreach,0.70,partner_signups,partner_ops,active,fallback
7,founder_content,0.30,white_label_inquiries,founder,active,fallback
